,session_id,session_started_at,session_ended_at,user_id,device_type,device_browser,device_operating_system,device_language,country
59,,2023-01-23 02:42:35,2023-01-23 03:41:08,175193733748964,mobile,bing,ios,FR,FR
60,,2023-09-03 23:02:59,2023-09-03 23:10:35,175193733748964,mobile,bing,ios,FR,FR
61,,2023-02-10 05:08:48,2023-02-10 06:02:05,175193733748964,mobile,bing,ios,FR,FR
62,,2023-09-02 15:01:33,2023-09-02 15:21:18,175193733748964,mobile,bing,ios,FR,FR
63,,2023-03-19 05:01:29,2023-03-19 05:42:51,482700027403442,desktop,google,,,FR
64,,2023-06-27 09:20:18,2023-06-27 09:47:23,482700027403442,desktop,google,,,FR
65,,2023-03-11 03:44:53,2023-03-11 04:26:21,482700027403442,desktop,google,,,FR
66,,2023-03-24 19:00:46,2023-03-24 19:10:41,482700027403442,desktop,google,,,FR
67,,2023-08-01 05:54:38,2023-08-01 06:17:42,482700027403442,desktop,google,,,FR
68,,2023-08-20 16:32:04,2023-08-20 16:41:41,835675136220820,mobile,google,ios,FR,FR
69,,2023-07-17 17:15:46,2023-07-17 17:54:29,835675136220820,mobile,google,ios,FR,FR
70,,2023-05-25 17:57:48,2023-05-25 18:40:13,835675136220820,mobile,google,ios,FR,FR
71,,2023-07-08 09:34:32,2023-07-08 09:48:52,835675136220820,mobile,google,ios,FR,FR
72,,2023-06-11 04:13:43,2023-06-11 04:32:19,835675136220820,mobile,google,ios,FR,FR
73,,2023-12-21 05:45:05,2023-12-21 05:46:27,147767934790016,mobile,google,ios,FR,FR
74,,2023-12-12 18:09:25,2023-12-12 18:35:05,147767934790016,mobile,google,ios,FR,FR
75,,2023-02-13 08:33:33,2023-02-13 09:17:34,147767934790016,mobile,google,ios,FR,FR
76,,2023-03-23 23:17:30,2023-03-23 23:18:35,532997970112832,mobile,bing,ios,EN,SP
77,,2023-09-25 02:07:35,2023-09-25 02:45:27,532997970112832,mobile,bing,ios,EN,SP
78,,2023-08-03 10:18:20,2023-08-03 10:41:26,532997970112832,mobile,bing,ios,EN,SP
79,,2023-07-10 06:07:13,2023-07-10 06:29:18,532997970112832,mobile,bing,ios,EN,SP
80,,2023-07-14 19:25:59,2023-07-14 19:42:07,327113892211074,mobile,google,ios,FR,
81,,2023-03-16 02:35:27,2023-03-16 03:29:25,327113892211074,mobile,google,ios,FR,
82,,2023-02-01 07:42:03,2023-02-01 07:58:41,327113892211074,mobile,google,ios,FR,
83,,2023-01-20 13:26:52,2023-01-20 14:19:03,327113892211074,mobile,google,ios,FR,
84,,2023-09-19 04:58:25,2023-09-19 05:14:28,336939762229021,mobile,google,ios,04,FR
85,,2023-05-14 23:26:21,2023-05-14 23:49:11,336939762229021,mobile,google,ios,04,FR
86,,2023-09-20 20:19:26,2023-09-20 20:56:02,131150188774255,mobile,google,ios,FR,FR
87,,2023-10-12 11:27:24,2023-10-12 11:46:00,131150188774255,mobile,google,ios,FR,FR
88,,2023-03-21 16:27:47,2023-03-21 17:17:04,131150188774255,mobile,google,ios,FR,FR
89,,2023-04-16 04:51:28,2023-04-16 05:20:42,131150188774255,mobile,google,ios,FR,FR
90,,2023-04-21 15:49:20,2023-04-21 16:32:49,206872187286127,desktop,google,,,FR
91,,2023-02-07 21:26:31,2023-02-07 22:09:21,206872187286127,desktop,google,,,FR
92,,2023-03-08 19:01:52,2023-03-08 19:11:46,206872187286127,desktop,google,,,FR
93,,2023-10-05 12:06:01,2023-10-05 13:04:13,206872187286127,desktop,google,,,FR
94,,2023-07-20 19:21:38,2023-07-20 19:25:54,206872187286127,desktop,google,,,FR
95,,2023-10-11 15:32:19,2023-10-11 16:21:43,206872187286127,desktop,google,,,FR
96,,2023-06-17 13:21:20,2023-06-17 13:26:43,910113519319898,mobile,google,ios,,FR
97,,2023-09-19 23:38:07,2023-09-20 00:05:44,910113519319898,mobile,google,ios,,FR
98,,2023-08-30 00:44:47,2023-08-30 00:45:48,910113519319898,mobile,google,ios,,FR
99,,2023-10-24 17:42:23,2023-10-24 18:03:36,910113519319898,mobile,google,ios,,FR
100,,2023-11-15 16:55:10,2023-11-15 17:18:35,186259955205777,mobile,bing,ios,FR,FR
101,,2023-06-05 05:17:49,2023-06-05 05:58:01,186259955205777,mobile,bing,ios,FR,FR
102,,2023-07-30 16:42:01,2023-07-30 17:00:46,186259955205777,mobile,bing,ios,FR,FR
103,,2023-08-29 07:45:00,2023-08-29 08:17:42,186259955205777,mobile,bing,ios,FR,FR
104,,2023-04-15 03:51:42,2023-04-15 04:36:56,156061532000932,mobile,google,android,FR,FR
105,,2023-03-06 08:49:38,2023-03-06 09:35:57,156061532000932,mobile,google,android,FR,FR
106,,2023-10-26 20:57:43,2023-10-26 21:28:45,156061532000932,mobile,google,android,FR,FR
107,,2023-09-21 11:18:04,2023-09-21 11:25:05,974452358092906,desktop,google,,,FR
108,,2023-08-01 14:20:59,2023-08-01 14:25:16,974452358092906,desktop,google,,,FR
109,,2023-02-13 09:58:15,2023-02-13 10:27:31,974452358092906,desktop,google,,,FR
110,,2023-06-13 00:27:02,2023-06-13 01:23:25,974452358092906,desktop,google,,,FR
111,,2023-12-25 17:13:56,2023-12-25 17:49:40,974452358092906,desktop,google,,,FR
112,,2023-03-11 02:46:48,2023-03-11 03:26:37,974452358092906,desktop,google,,,FR
113,,2023-04-21 07:53:55,2023-04-21 08:19:56,264516466224731,mobile,google,ios,EN,PT
114,,2023-03-28 06:45:49,2023-03-28 07:42:45,264516466224731,mobile,google,ios,EN,PT
115,,2023-06-28 14:15:49,2023-06-28 14:43:08,264516466224731,mobile,google,ios,EN,PT
116,,2023-07-07 00:35:30,2023-07-07 00:51:53,264516466224731,mobile,google,ios,EN,PT
117,,2023-05-10 11:15:31,2023-05-10 11:52:48,264516466224731,mobile,google,ios,EN,PT
118,,2023-09-19 17:12:51,2023-09-19 17:14:36,324776872567030,mobile,google,ios,FR,FR
119,,2023-10-20 05:10:32,2023-10-20 05:34:04,324776872567030,mobile,google,ios,FR,FR
120,,2023-08-27 13:01:29,2023-08-27 13:33:08,324776872567030,mobile,google,ios,FR,FR
121,,2023-02-16 19:11:13,2023-02-16 19:31:43,256963208586141,desktop,google,,,FR
122,,2023-01-30 12:50:00,2023-01-30 12:54:18,256963208586141,desktop,google,,,FR
123,,2023-01-30 15:04:55,2023-01-30 15:51:58,256963208586141,desktop,google,,,FR
124,,2023-10-20 17:32:24,2023-10-20 18:00:30,256963208586141,desktop,google,,,FR
125,,2023-08-08 01:43:27,2023-08-08 02:07:01,256963208586141,desktop,google,,,FR
126,,2023-11-16 22:57:33,2023-11-16 23:10:44,256963208586141,desktop,google,,,FR
127,,2023-12-04 14:31:49,2023-12-04 15:24:23,218921037974926,desktop,,,,FR
128,,2023-06-22 17:04:39,2023-06-22 17:53:31,218921037974926,desktop,,,,FR
129,,2023-04-26 01:47:31,2023-04-26 01:55:51,218921037974926,desktop,,,,FR
130,,2023-02-22 08:20:33,2023-02-22 08:54:16,149708131415053,mobile,google,ios,EN,FR
131,,2023-02-08 03:40:09,2023-02-08 04:20:51,149708131415053,mobile,google,ios,EN,FR
132,,2023-11-08 11:54:14,2023-11-08 12:12:06,149708131415053,mobile,google,ios,EN,FR
133,,2023-02-05 10:48:36,2023-02-05 11:43:47,149708131415053,mobile,google,ios,EN,FR
134,,2023-07-19 19:56:44,2023-07-19 20:22:23,309960772970521,mobile,google,ios,FR,FR
135,,2023-11-04 12:09:52,2023-11-04 12:45:34,309960772970521,mobile,google,ios,FR,FR
136,,2023-11-14 12:37:55,2023-11-14 13:05:15,309960772970521,mobile,google,ios,FR,FR
137,,2023-03-04 21:08:36,2023-03-04 21:15:46,309960772970521,mobile,google,ios,FR,FR
138,,2023-11-14 17:54:59,2023-11-14 17:55:30,309960772970521,mobile,google,ios,FR,FR
139,,2023-12-30 19:31:19,2023-12-30 20:26:37,281885729411948,desktop,bing,,,FR
140,,2023-04-04 12:32:20,2023-04-04 12:52:01,281885729411948,desktop,bing,,,FR
141,,2023-04-15 03:12:54,2023-04-15 03:25:03,281885729411948,desktop,bing,,,FR
142,,2023-05-29 11:09:42,2023-05-29 11:50:07,281885729411948,desktop,bing,,,FR
143,,2023-12-12 11:51:37,2023-12-12 11:57:02,281885729411948,desktop,bing,,,FR
144,,2023-06-26 09:31:59,2023-06-26 09:56:08,634325254592709,desktop,,,,FR
145,,2023-03-13 10:43:05,2023-03-13 11:10:24,634325254592709,desktop,,,,FR
146,,2023-09-25 09:24:06,2023-09-25 10:07:01,634325254592709,desktop,,,,FR
147,,2023-10-24 14:27:03,2023-10-24 15:18:31,260049018446597,mobile,google,android,FR,FR
148,,2023-08-27 14:32:03,2023-08-27 14:49:57,260049018446597,mobile,google,android,FR,FR
149,,2023-11-07 22:04:21,2023-11-07 22:43:07,260049018446597,mobile,google,android,FR,FR
150,,2023-03-06 13:56:38,2023-03-06 14:23:44,260049018446597,mobile,google,android,FR,FR
151,,2023-03-30 18:34:04,2023-03-30 19:29:14,324119461631604,mobile,yahoo,ios,FR,FR
152,,2023-03-15 17:31:30,2023-03-15 17:32:43,324119461631604,mobile,yahoo,ios,FR,FR
153,,2023-09-05 17:58:23,2023-09-05 18:23:36,324119461631604,mobile,yahoo,ios,FR,FR
154,,2023-04-10 04:56:29,2023-04-10 05:18:28,244303997190874,desktop,,,,FR
155,,2023-05-18 09:54:30,2023-05-18 10:37:17,244303997190874,desktop,,,,FR
156,,2023-05-24 03:44:17,2023-05-24 04:04:36,244303997190874,desktop,,,,FR
157,,2023-08-29 01:54:39,2023-08-29 02:21:44,202670953291456,mobile,google,android,FR,FR
158,,2023-07-02 15:28:28,2023-07-02 15:50:48,202670953291456,mobile,google,android,FR,FR
159,,2023-02-02 20:20:25,2023-02-02 20:28:01,202670953291456,mobile,google,android,FR,FR
160,,2023-02-22 20:43:49,2023-02-22 21:27:12,202670953291456,mobile,google,android,FR,FR
161,,2023-09-24 15:26:33,2023-09-24 16:15:25,202670953291456,mobile,google,android,FR,FR
162,,2023-01-04 04:07:58,2023-01-04 04:12:56,202670953291456,mobile,google,android,FR,FR
163,,2023-06-20 22:53:09,2023-06-20 23:22:52,262994044482135,desktop,google,,,FR
164,,2023-02-24 12:11:39,2023-02-24 12:52:09,262994044482135,desktop,google,,,FR
165,,2023-11-09 17:13:18,2023-11-09 17:49:41,262994044482135,desktop,google,,,FR
166,,2023-12-26 01:33:58,2023-12-26 01:44:47,262994044482135,desktop,google,,,FR
167,,2023-05-07 23:49:01,2023-05-08 00:36:21,900463461422716,desktop,google,,,FR
168,,2023-03-02 10:47:55,2023-03-02 11:16:39,900463461422716,desktop,google,,,FR
169,,2023-03-12 01:37:17,2023-03-12 02:10:15,900463461422716,desktop,google,,,FR
170,,2023-01-13 21:37:37,2023-01-13 21:57:19,900463461422716,desktop,google,,,FR
171,,2023-07-01 04:08:29,2023-07-01 04:56:07,900463461422716,desktop,google,,,FR
172,,2023-10-24 20:21:16,2023-10-24 20:46:30,900463461422716,desktop,google,,,FR
173,,2023-04-09 06:14:05,2023-04-09 06:54:26,900463461422716,desktop,google,,,FR
174,,2023-01-21 18:48:31,2023-01-21 19:39:45,900463461422716,desktop,google,,,FR
175,,2023-12-27 22:44:09,2023-12-27 23:31:46,900463461422716,desktop,google,,,FR
176,,2023-06-25 05:09:48,2023-06-25 05:50:03,900463461422716,desktop,google,,,FR
177,,2023-01-19 22:22:33,2023-01-19 23:03:29,222665183239671,mobile,,,FR,FR
178,,2023-07-15 16:33:52,2023-07-15 17:22:30,222665183239671,mobile,,,FR,FR
179,,2023-03-02 05:51:15,2023-03-02 06:01:09,222665183239671,mobile,,,FR,FR
180,,2023-01-28 16:25:29,2023-01-28 17:03:04,222665183239671,mobile,,,FR,FR
181,,2023-07-13 06:34:12,2023-07-13 06:59:21,630839208537302,mobile,bing,ios,FR,FR
182,,2023-02-08 20:05:46,2023-02-08 20:08:17,630839208537302,mobile,bing,ios,FR,FR
183,,2023-06-20 11:45:28,2023-06-20 12:29:15,630839208537302,mobile,bing,ios,FR,FR
184,,2023-12-07 05:10:20,2023-12-07 05:36:35,630839208537302,mobile,bing,ios,FR,FR
185,,2023-10-07 06:28:17,2023-10-07 07:26:30,630839208537302,mobile,bing,ios,FR,FR
186,,2023-11-11 04:03:56,2023-11-11 04:20:39,630839208537302,mobile,bing,ios,FR,FR
187,,2023-06-12 16:24:41,2023-06-12 16:46:18,171972365422113,mobile,,ios,FR,FR
188,,2023-04-08 10:46:35,2023-04-08 11:30:55,171972365422113,mobile,,ios,FR,FR
189,,2023-01-05 00:03:31,2023-01-05 00:38:42,171972365422113,mobile,,ios,FR,FR
190,,2023-04-12 07:24:08,2023-04-12 07:56:43,171972365422113,mobile,,ios,FR,FR
191,,2023-05-16 12:48:36,2023-05-16 13:22:15,238376344992019,mobile,google,ios,FR,FR
192,,2023-11-15 03:54:08,2023-11-15 04:45:36,238376344992019,mobile,google,ios,FR,FR
193,,2023-05-04 13:32:40,2023-05-04 13:56:21,238376344992019,mobile,google,ios,FR,FR
194,,2023-01-30 17:49:57,2023-01-30 18:23:13,147245097793037,desktop,google,,,FR
195,,2023-02-10 13:13:42,2023-02-10 14:06:10,147245097793037,desktop,google,,,FR
196,,2023-09-02 13:09:19,2023-09-02 13:42:19,147245097793037,desktop,google,,,FR
197,,2023-06-02 22:39:09,2023-06-02 22:40:14,295192544207714,mobile,google,ios,EN,FR
198,,2023-09-17 13:22:20,2023-09-17 13:58:49,295192544207714,mobile,google,ios,EN,FR
199,,2023-08-25 05:01:43,2023-08-25 05:51:28,295192544207714,mobile,google,ios,EN,FR
200,,2023-09-16 11:23:24,2023-09-16 11:25:47,295192544207714,mobile,google,ios,EN,FR
201,,2023-08-10 20:19:17,2023-08-10 20:45:49,295192544207714,mobile,google,ios,EN,FR
202,,2023-06-22 17:44:04,2023-06-22 17:50:48,295192544207714,mobile,google,ios,EN,FR
203,,2023-11-21 10:26:54,2023-11-21 10:46:56,274328973206373,mobile,bing,ios,04,SP
204,,2023-05-26 06:41:17,2023-05-26 07:33:33,274328973206373,mobile,bing,ios,04,SP
205,,2023-10-05 07:51:09,2023-10-05 08:05:39,274328973206373,mobile,bing,ios,04,SP
206,,2023-07-05 19:18:54,2023-07-05 19:21:39,274328973206373,mobile,bing,ios,04,SP
207,,2023-06-07 11:01:37,2023-06-07 11:41:26,266527670103611,mobile,yahoo,ios,EN,FR
208,,2023-12-19 08:42:40,2023-12-19 09:13:03,266527670103611,mobile,yahoo,ios,EN,FR
209,,2023-06-24 15:42:33,2023-06-24 16:20:26,266527670103611,mobile,yahoo,ios,EN,FR
210,,2023-07-06 20:51:17,2023-07-06 21:42:58,266527670103611,mobile,yahoo,ios,EN,FR
211,,2023-09-01 16:01:25,2023-09-01 16:14:29,266527670103611,mobile,yahoo,ios,EN,FR
212,,2023-06-30 18:08:54,2023-06-30 18:36:54,265302593326235,mobile,google,android,FR,FR
213,,2023-12-16 23:47:56,2023-12-17 00:26:51,265302593326235,mobile,google,android,FR,FR
214,,2023-11-16 07:52:43,2023-11-16 08:41:20,265302593326235,mobile,google,android,FR,FR
215,,2023-08-29 09:45:19,2023-08-29 10:41:47,302146614208121,mobile,,ios,EN,FR
216,,2023-09-18 11:56:23,2023-09-18 12:41:13,302146614208121,mobile,,ios,EN,FR
217,,2023-07-27 09:01:41,2023-07-27 09:24:26,302146614208121,mobile,,ios,EN,FR
218,,2023-10-03 21:55:20,2023-10-03 22:04:38,302146614208121,mobile,,ios,EN,FR
219,,2023-09-25 13:48:06,2023-09-25 14:46:30,302146614208121,mobile,,ios,EN,FR
220,,2023-07-09 20:49:53,2023-07-09 21:27:34,189470163497679,mobile,google,ios,EN,FR
221,,2023-11-05 00:07:20,2023-11-05 00:58:05,189470163497679,mobile,google,ios,EN,FR
222,,2023-12-26 10:42:15,2023-12-26 11:31:27,189470163497679,mobile,google,ios,EN,FR
223,,2023-07-22 18:57:00,2023-07-22 19:15:20,336279190330194,mobile,google,android,,FR
224,,2023-08-29 11:36:25,2023-08-29 12:18:55,336279190330194,mobile,google,android,,FR
225,,2023-07-19 16:39:24,2023-07-19 17:13:25,336279190330194,mobile,google,android,,FR
226,,2023-09-28 20:46:27,2023-09-28 20:56:16,289860419660750,mobile,bing,ios,FR,FR
227,,2023-12-07 18:49:02,2023-12-07 18:56:22,289860419660750,mobile,bing,ios,FR,FR
228,,2023-07-01 18:06:05,2023-07-01 18:32:31,289860419660750,mobile,bing,ios,FR,FR
229,,2023-05-24 06:34:34,2023-05-24 06:36:48,289860419660750,mobile,bing,ios,FR,FR
230,,2023-05-05 12:27:00,2023-05-05 13:01:19,289860419660750,mobile,bing,ios,FR,FR
231,,2023-01-25 12:06:04,2023-01-25 12:52:54,486862850730565,mobile,bing,android,FR,
232,,2023-07-12 10:18:14,2023-07-12 11:00:14,486862850730565,mobile,bing,android,FR,
233,,2023-10-05 15:21:55,2023-10-05 16:13:26,486862850730565,mobile,bing,android,FR,
234,,2023-06-29 13:00:26,2023-06-29 13:42:36,870756455478884,mobile,google,ios,FR,FR
235,,2023-12-02 12:47:46,2023-12-02 13:10:34,870756455478884,mobile,google,ios,FR,FR
236,,2023-03-22 16:56:29,2023-03-22 17:46:53,870756455478884,mobile,google,ios,FR,FR
237,,2023-07-30 12:19:21,2023-07-30 12:25:02,238149437454426,desktop,google,,,
238,,2023-07-21 00:03:16,2023-07-21 00:04:44,238149437454426,desktop,google,,,
239,,2023-01-29 22:29:27,2023-01-29 23:23:50,238149437454426,desktop,google,,,
240,,2023-06-09 03:19:31,2023-06-09 03:41:52,238149437454426,desktop,google,,,
241,,2023-12-29 05:30:43,2023-12-29 06:02:50,238149437454426,desktop,google,,,
242,,2023-05-06 05:52:31,2023-05-06 05:57:42,238149437454426,desktop,google,,,
243,,2023-08-24 23:25:59,2023-08-24 23:45:05,238149437454426,desktop,google,,,
244,,2023-08-12 19:17:38,2023-08-12 19:57:02,238149437454426,desktop,google,,,
245,,2023-01-20 04:13:39,2023-01-20 04:31:25,240287546177857,mobile,google,ios,FR,FR
246,,2023-05-18 13:13:48,2023-05-18 13:41:33,240287546177857,mobile,google,ios,FR,FR
247,,2023-08-23 03:28:36,2023-08-23 03:40:46,240287546177857,mobile,google,ios,FR,FR
248,,2023-10-12 17:26:35,2023-10-12 17:47:35,240287546177857,mobile,google,ios,FR,FR
249,,2023-06-26 16:21:18,2023-06-26 16:51:19,240287546177857,mobile,google,ios,FR,FR
250,,2023-09-03 09:51:10,2023-09-03 10:39:34,313913902842875,mobile,,ios,FR,FR
251,,2023-05-11 19:50:50,2023-05-11 20:48:36,313913902842875,mobile,,ios,FR,FR
252,,2023-10-02 18:39:01,2023-10-02 19:32:47,313913902842875,mobile,,ios,FR,FR
253,,2023-03-27 22:48:14,2023-03-27 23:31:13,313913902842875,mobile,,ios,FR,FR
254,,2023-04-01 20:32:03,2023-04-01 21:29:08,313913902842875,mobile,,ios,FR,FR
255,,2023-02-03 22:28:46,2023-02-03 23:10:12,158851410026025,mobile,google,ios,FR,FR
256,,2023-10-22 07:05:53,2023-10-22 08:01:26,158851410026025,mobile,google,ios,FR,FR
257,,2023-08-11 00:50:00,2023-08-11 00:59:35,158851410026025,mobile,google,ios,FR,FR
258,,2023-10-12 21:29:23,2023-10-12 22:10:42,158851410026025,mobile,google,ios,FR,FR
259,,2023-11-09 19:38:02,2023-11-09 20:06:23,158851410026025,mobile,google,ios,FR,FR
260,,2023-11-10 02:52:10,2023-11-10 03:43:15,158851410026025,mobile,google,ios,FR,FR
261,,2023-04-26 23:06:15,2023-04-26 23:09:31,158851410026025,mobile,google,ios,FR,FR
262,,2023-07-23 09:39:42,2023-07-23 10:36:14,158851410026025,mobile,google,ios,FR,FR
263,,2023-10-20 17:45:58,2023-10-20 17:57:02,158851410026025,mobile,google,ios,FR,FR
264,,2023-11-05 01:06:07,2023-11-05 01:54:08,121869928482665,mobile,google,ios,FR,
265,,2023-12-04 12:21:48,2023-12-04 13:20:57,121869928482665,mobile,google,ios,FR,
266,,2023-01-02 07:18:04,2023-01-02 07:31:47,121869928482665,mobile,google,ios,FR,
267,,2023-10-20 20:06:13,2023-10-20 20:16:56,244576968076995,mobile,,ios,FR,FR
268,,2023-11-15 23:02:41,2023-11-15 23:46:53,220786501676392,mobile,google,ios,EN,FR
269,,2023-05-09 14:48:47,2023-05-09 15:17:32,220786501676392,mobile,google,ios,EN,FR
270,,2023-11-12 08:47:34,2023-11-12 09:23:43,220786501676392,mobile,google,ios,EN,FR
271,,2023-01-25 12:37:25,2023-01-25 13:36:36,220786501676392,mobile,google,ios,EN,FR
272,,2023-08-21 01:48:20,2023-08-21 02:43:08,220786501676392,mobile,google,ios,EN,FR
273,,2023-08-11 18:37:55,2023-08-11 18:44:20,412881413983537,mobile,google,ios,FR,FR
274,,2023-07-28 19:51:46,2023-07-28 20:33:02,412881413983537,mobile,google,ios,FR,FR
275,,2023-10-26 14:34:13,2023-10-26 15:29:38,412881413983537,mobile,google,ios,FR,FR
276,,2023-03-10 09:18:15,2023-03-10 09:37:59,412881413983537,mobile,google,ios,FR,FR
277,,2023-01-25 08:26:49,2023-01-25 08:58:55,412881413983537,mobile,google,ios,FR,FR
278,,2023-05-19 12:33:32,2023-05-19 13:04:32,412881413983537,mobile,google,ios,FR,FR
279,,2023-05-07 06:02:32,2023-05-07 06:40:08,412881413983537,mobile,google,ios,FR,FR
280,,2023-09-28 07:50:42,2023-09-28 07:54:31,613114223592541,mobile,,android,FR,UK
281,,2023-03-14 07:32:35,2023-03-14 07:56:21,613114223592541,mobile,,android,FR,UK
282,,2023-09-30 11:31:06,2023-09-30 11:59:03,613114223592541,mobile,,android,FR,UK
283,,2023-04-13 10:14:33,2023-04-13 10:46:48,147143581796323,mobile,bing,ios,FR,
284,,2023-07-30 13:48:18,2023-07-30 13:57:28,147143581796323,mobile,bing,ios,FR,
285,,2023-09-28 21:45:56,2023-09-28 22:04:14,147143581796323,mobile,bing,ios,FR,
286,,2023-04-03 13:10:00,2023-04-03 13:27:49,147143581796323,mobile,bing,ios,FR,
