,session_id,session_started_at,session_ended_at,user_id,device_type,device_browser,device_operating_system,device_language,country,session_duration,session_weekday,day_period,time_btw_sessions
22,1848102454.0,2023-01-17 04:04:29,2023-01-17 04:15:58,100391830194386,mobile,google,,FR,FR,0 days 00:11:29,1,night,
23,1468115710.0,2023-08-19 04:11:05,2023-08-19 04:25:50,100391830194386,mobile,google,,FR,FR,0 days 00:14:45,5,night,213 days 23:55:07
24,2063801772.0,2023-09-24 23:00:08,2023-09-24 23:41:43,100409589043805,mobile,yahoo,android,Other,PT,0 days 00:41:35,6,evening,
25,937027904.0,2023-01-21 16:26:08,2023-01-21 16:30:51,100448894846436,mobile,google,ios,,FR,0 days 00:04:43,5,afternoon,
26,2314621024.0,2023-02-12 20:27:05,2023-02-12 20:51:17,100448894846436,mobile,google,ios,,FR,0 days 00:24:12,6,evening,22 days 03:56:14
27,950446424.0,2023-05-22 00:55:10,2023-05-22 00:58:56,100519922937549,desktop,google,windows,,FR,0 days 00:03:46,0,night,
28,1750153461.0,2023-09-15 03:50:08,2023-09-15 04:17:00,100519922937549,desktop,google,windows,,FR,0 days 00:26:52,4,night,116 days 02:51:12
29,1401155722.0,2023-12-27 15:08:27,2023-12-27 16:04:00,100519922937549,desktop,google,windows,,FR,0 days 00:55:33,2,afternoon,103 days 10:51:27
30,,2023-05-03 08:03:43,2023-05-03 08:33:53,100543386075205,desktop,google,windows,,FR,0 days 00:30:10,2,morning,
31,,2023-05-22 03:02:04,2023-05-22 03:44:01,100543386075205,desktop,google,windows,,FR,0 days 00:41:57,0,night,18 days 18:28:11
32,,2023-07-31 11:04:56,2023-07-31 11:17:30,100543386075205,desktop,google,windows,,FR,0 days 00:12:34,0,morning,70 days 07:20:55
33,,2023-09-16 08:48:15,2023-09-16 09:30:02,100543386075205,desktop,google,windows,,FR,0 days 00:41:47,5,morning,46 days 21:30:45
34,,2023-11-26 01:50:02,2023-11-26 02:47:46,100543386075205,desktop,google,windows,,FR,0 days 00:57:44,6,night,70 days 16:20:00
35,,2023-12-23 09:10:10,2023-12-23 09:22:41,100543386075205,desktop,google,windows,,FR,0 days 00:12:31,5,morning,27 days 06:22:24
36,3792368280.0,2023-01-29 09:08:02,2023-01-29 09:35:13,100555850804097,mobile,google,ios,FR,FR,0 days 00:27:11,6,morning,
37,2749992022.0,2023-02-28 07:48:23,2023-02-28 08:40:09,100563888230738,mobile,google,,FR,FR,0 days 00:51:46,1,morning,
38,1118558084.0,2023-05-23 07:06:42,2023-05-23 07:34:14,100563888230738,mobile,google,,FR,FR,0 days 00:27:32,1,morning,83 days 22:26:33
39,1212742098.0,2023-06-03 14:06:01,2023-06-03 14:31:36,100563888230738,mobile,google,,FR,FR,0 days 00:25:35,5,afternoon,11 days 06:31:47
40,2541321071.0,2023-12-22 03:46:48,2023-12-22 04:08:42,100563888230738,mobile,google,,FR,FR,0 days 00:21:54,4,night,201 days 13:15:12
41,,2023-01-28 06:45:20,2023-01-28 07:26:34,100564800726452,mobile,google,ios,Other,FR,0 days 00:41:14,5,morning,
42,,2023-03-21 03:36:51,2023-03-21 03:40:55,100564800726452,mobile,google,ios,Other,FR,0 days 00:04:04,1,night,51 days 20:10:17
43,,2023-05-21 06:59:07,2023-05-21 07:52:07,100564800726452,mobile,google,ios,Other,FR,0 days 00:53:00,6,morning,61 days 03:18:12
44,235118444.0,2023-03-26 03:33:19,2023-03-26 04:24:45,100612816824435,desktop,google,windows,,FR,0 days 00:51:26,6,night,
45,156365444.0,2023-04-16 09:58:44,2023-04-16 10:28:46,100612816824435,desktop,google,windows,,FR,0 days 00:30:02,6,morning,21 days 05:33:59
46,3211924486.0,2023-11-06 12:52:11,2023-11-06 13:47:05,100612816824435,desktop,google,windows,,FR,0 days 00:54:54,0,afternoon,204 days 02:23:25
47,1144232806.0,2023-01-15 07:47:56,2023-01-15 08:31:40,100642478155651,mobile,google,android,FR,FR,0 days 00:43:44,6,morning,
48,322208840.0,2023-07-29 05:57:59,2023-07-29 06:46:13,100642478155651,mobile,google,android,FR,FR,0 days 00:48:14,5,night,194 days 21:26:19
49,1811831276.0,2023-08-27 09:09:48,2023-08-27 09:12:24,100642478155651,mobile,google,android,FR,FR,0 days 00:02:36,6,morning,29 days 02:23:35
50,3942979626.0,2023-10-27 15:02:53,2023-10-27 15:44:32,100642478155651,mobile,google,android,FR,FR,0 days 00:41:39,4,afternoon,61 days 05:50:29
51,1883257597.0,2023-03-16 21:03:40,2023-03-16 22:03:08,100668016435583,mobile,google,ios,FR,FR,0 days 00:59:28,3,evening,
52,978127229.0,2023-07-23 07:42:11,2023-07-23 08:08:31,100668016435583,mobile,google,ios,FR,FR,0 days 00:26:20,6,morning,128 days 09:39:03
53,2375886829.0,2023-09-02 17:59:27,2023-09-02 18:27:32,100683184669856,desktop,google,windows,,FR,0 days 00:28:05,5,afternoon,
54,1173637125.0,2023-09-05 18:46:38,2023-09-05 19:29:57,100683184669856,desktop,google,windows,,FR,0 days 00:43:19,1,evening,3 days 00:19:06
55,3179725578.0,2023-09-22 00:31:48,2023-09-22 01:05:39,100683184669856,desktop,google,windows,,FR,0 days 00:33:51,4,night,16 days 05:01:51
56,929526142.0,2023-11-28 19:24:11,2023-11-28 19:51:09,100683184669856,desktop,google,windows,,FR,0 days 00:26:58,1,evening,67 days 18:18:32
57,757786761.0,2023-11-29 04:53:44,2023-11-29 05:03:13,100683184669856,desktop,google,windows,,FR,0 days 00:09:29,2,night,0 days 09:02:35
58,4191731892.0,2023-07-05 00:04:51,2023-07-05 00:49:41,100786567804279,mobile,yahoo,ios,EN,FR,0 days 00:44:50,2,night,
59,2886505998.0,2023-08-27 02:53:02,2023-08-27 03:26:28,100786567804279,mobile,yahoo,ios,EN,FR,0 days 00:33:26,6,night,53 days 02:03:21
60,4192411277.0,2023-09-07 22:06:08,2023-09-07 22:29:09,100786567804279,mobile,yahoo,ios,EN,FR,0 days 00:23:01,3,evening,11 days 18:39:40
61,3311269267.0,2023-12-13 08:02:33,2023-12-13 08:36:42,100786567804279,mobile,yahoo,ios,EN,FR,0 days 00:34:09,2,morning,96 days 09:33:24
62,851378555.0,2023-03-28 13:43:10,2023-03-28 14:08:53,100812489236971,mobile,google,ios,EN,FR,0 days 00:25:43,1,afternoon,
63,3530773151.0,2023-06-29 07:11:23,2023-06-29 07:22:41,100812489236971,mobile,google,ios,EN,FR,0 days 00:11:18,3,morning,92 days 17:02:30
64,2683740506.0,2023-07-10 12:23:48,2023-07-10 13:16:40,100812489236971,mobile,google,ios,EN,FR,0 days 00:52:52,0,afternoon,11 days 05:01:07
65,3496626687.0,2023-11-21 20:02:24,2023-11-21 20:03:01,100812489236971,mobile,google,ios,EN,FR,0 days 00:00:37,1,evening,134 days 06:45:44
66,557234991.0,2023-12-09 20:47:53,2023-12-09 21:38:43,100812489236971,mobile,google,ios,EN,FR,0 days 00:50:50,5,evening,18 days 00:44:52
67,2960505035.0,2023-12-20 07:13:18,2023-12-20 08:10:00,100812489236971,mobile,google,ios,EN,FR,0 days 00:56:42,2,morning,10 days 09:34:35
68,3142726091.0,2023-11-22 22:28:59,2023-11-22 22:54:32,100848525954940,mobile,google,ios,EN,FR,0 days 00:25:33,2,evening,
69,724111480.0,2023-01-23 10:11:47,2023-01-23 10:45:05,100894358098825,mobile,,ios,FR,,0 days 00:33:18,0,morning,
70,3240319516.0,2023-03-04 20:08:56,2023-03-04 20:53:39,100894358098825,mobile,,ios,FR,,0 days 00:44:43,5,evening,40 days 09:23:51
71,2747753652.0,2023-03-22 09:06:08,2023-03-22 09:19:36,100894358098825,mobile,,ios,FR,,0 days 00:13:28,2,morning,17 days 12:12:29
72,312841418.0,2023-04-08 07:33:36,2023-04-08 07:42:47,100894358098825,mobile,,ios,FR,,0 days 00:09:11,5,morning,16 days 22:14:00
73,281986181.0,2023-04-21 14:26:53,2023-04-21 14:40:00,100894358098825,mobile,,ios,FR,,0 days 00:13:07,4,afternoon,13 days 06:44:06
74,3584031074.0,2023-06-07 12:21:10,2023-06-07 12:46:35,100894358098825,mobile,,ios,FR,,0 days 00:25:25,2,afternoon,46 days 21:41:10
75,3225481209.0,2023-08-03 12:16:50,2023-08-03 12:58:35,100894358098825,mobile,,ios,FR,,0 days 00:41:45,3,afternoon,56 days 23:30:15
76,2867036949.0,2023-08-25 18:39:17,2023-08-25 19:21:21,100894358098825,mobile,,ios,FR,,0 days 00:42:04,4,evening,22 days 05:40:42
77,3916026188.0,2023-04-08 03:37:16,2023-04-08 04:11:22,101067565327506,desktop,google,windows,,FR,0 days 00:34:06,5,night,
78,697684899.0,2023-08-10 05:13:32,2023-08-10 06:00:32,101067565327506,desktop,google,windows,,FR,0 days 00:47:00,3,night,124 days 01:02:10
79,3609987609.0,2023-08-22 23:18:20,2023-08-23 00:03:26,101067565327506,desktop,google,windows,,FR,0 days 00:45:06,1,evening,12 days 17:17:48
80,190813999.0,2023-09-27 04:33:03,2023-09-27 04:56:29,101067565327506,desktop,google,windows,,FR,0 days 00:23:26,2,night,35 days 04:29:37
81,1598903652.0,2023-10-04 05:04:19,2023-10-04 05:37:14,101067565327506,desktop,google,windows,,FR,0 days 00:32:55,2,night,7 days 00:07:50
82,3354332707.0,2023-12-23 09:24:20,2023-12-23 09:38:12,101067565327506,desktop,google,windows,,FR,0 days 00:13:52,5,morning,80 days 03:47:06
83,2929159490.0,2023-01-27 10:10:09,2023-01-27 11:01:48,101069322454572,,google,,,FR,0 days 00:51:39,4,morning,
84,1275717347.0,2023-03-10 11:21:10,2023-03-10 11:23:48,101069322454572,,google,,,FR,0 days 00:02:38,4,morning,42 days 00:19:22
85,2125815145.0,2023-12-04 06:23:29,2023-12-04 07:22:53,101069322454572,,google,,,FR,0 days 00:59:24,0,morning,268 days 18:59:41
86,3411247067.0,2023-04-11 05:27:35,2023-04-11 06:15:34,101114577586899,desktop,google,windows,,FR,0 days 00:47:59,1,night,
87,908130632.0,2023-08-31 05:12:53,2023-08-31 05:42:20,101114577586899,desktop,google,windows,,FR,0 days 00:29:27,3,night,141 days 22:57:19
88,958105403.0,2023-10-11 17:40:00,2023-10-11 18:39:37,101114577586899,desktop,google,windows,,FR,0 days 00:59:37,2,afternoon,41 days 11:57:40
89,1585223061.0,2023-01-26 00:47:41,2023-01-26 01:11:02,101219907048879,mobile,google,android,FR,FR,0 days 00:23:21,3,night,
90,4017157377.0,2023-01-29 16:15:50,2023-01-29 16:22:25,101220218245413,mobile,yahoo,ios,FR,FR,0 days 00:06:35,6,afternoon,
91,2857236753.0,2023-02-16 23:51:07,2023-02-17 00:20:25,101223760936240,mobile,bing,ios,FR,FR,0 days 00:29:18,3,evening,
92,2034397164.0,2023-06-11 12:49:38,2023-06-11 12:51:49,101223760936240,mobile,bing,ios,FR,FR,0 days 00:02:11,6,afternoon,114 days 12:29:13
93,2024578154.0,2023-10-18 07:33:26,2023-10-18 07:45:36,101223760936240,mobile,bing,ios,FR,FR,0 days 00:12:10,2,morning,128 days 18:41:37
94,2417785316.0,2023-10-23 02:43:02,2023-10-23 02:52:23,101223760936240,mobile,bing,ios,FR,FR,0 days 00:09:21,0,night,4 days 18:57:26
95,1608305812.0,2023-03-05 20:54:14,2023-03-05 21:22:49,101231079852437,mobile,google,ios,EN,FR,0 days 00:28:35,6,evening,
96,3295353766.0,2023-01-01 03:04:01,2023-01-01 03:49:36,101327452230819,desktop,google,windows,,UK,0 days 00:45:35,6,night,
97,1528237743.0,2023-05-21 12:50:45,2023-05-21 13:37:05,101327452230819,desktop,google,windows,,UK,0 days 00:46:20,6,afternoon,140 days 09:01:09
98,3234681066.0,2023-07-02 01:52:24,2023-07-02 02:12:33,101327452230819,desktop,google,windows,,UK,0 days 00:20:09,6,night,41 days 12:15:19
99,3300179983.0,2023-08-12 22:15:47,2023-08-12 22:21:52,101327452230819,desktop,google,windows,,UK,0 days 00:06:05,5,evening,41 days 20:03:14
100,948510495.0,2023-02-02 09:37:28,2023-02-02 10:06:35,101506171406346,,bing,,,,0 days 00:29:07,3,morning,
101,505142292.0,2023-04-25 17:56:36,2023-04-25 18:03:36,101506171406346,,bing,,,,0 days 00:07:00,1,afternoon,82 days 07:50:01
102,2862280077.0,2023-09-24 08:47:16,2023-09-24 09:15:29,101506171406346,,bing,,,,0 days 00:28:13,6,morning,151 days 14:43:40
103,3475865042.0,2023-02-12 09:08:58,2023-02-12 09:45:21,101546062981895,desktop,,windows,,FR,0 days 00:36:23,6,morning,
104,1210877415.0,2023-03-28 12:15:43,2023-03-28 12:54:29,101546062981895,desktop,,windows,,FR,0 days 00:38:46,1,afternoon,44 days 02:30:22
105,3075468242.0,2023-10-21 04:03:42,2023-10-21 04:40:26,101546062981895,desktop,,windows,,FR,0 days 00:36:44,5,night,206 days 15:09:13
106,,2023-06-27 11:12:43,2023-06-27 11:17:06,101692268377314,desktop,google,windows,,,0 days 00:04:23,1,morning,
107,,2023-10-31 07:50:22,2023-10-31 08:49:41,101692268377314,desktop,google,windows,,,0 days 00:59:19,1,morning,125 days 20:33:16
108,,2023-12-11 22:07:24,2023-12-11 22:24:23,101692268377314,desktop,google,windows,,,0 days 00:16:59,0,evening,41 days 13:17:43
109,,2023-12-16 09:22:18,2023-12-16 10:08:32,101692268377314,desktop,google,windows,,,0 days 00:46:14,5,morning,4 days 10:57:55
110,2185546707.0,2023-01-03 06:13:09,2023-01-03 06:47:33,101717454830018,desktop,google,windows,,FR,0 days 00:34:24,1,morning,
111,1520572468.0,2023-08-15 17:53:50,2023-08-15 18:10:22,101717454830018,desktop,google,windows,,FR,0 days 00:16:32,1,afternoon,224 days 11:06:17
112,2850948794.0,2023-09-26 16:18:16,2023-09-26 16:28:02,101717454830018,desktop,google,windows,,FR,0 days 00:09:46,1,afternoon,41 days 22:07:54
113,792395755.0,2023-10-17 20:26:38,2023-10-17 21:02:22,101717454830018,desktop,google,windows,,FR,0 days 00:35:44,1,evening,21 days 03:58:36
114,1696504514.0,2023-12-03 16:29:16,2023-12-03 17:13:09,101717454830018,desktop,google,windows,,FR,0 days 00:43:53,6,afternoon,46 days 19:26:54
115,1376169818.0,2023-12-18 16:43:42,2023-12-18 17:07:47,101717454830018,desktop,google,windows,,FR,0 days 00:24:05,0,afternoon,14 days 23:30:33
116,3613409881.0,2023-09-16 02:47:12,2023-09-16 03:42:13,101753932704397,mobile,bing,ios,FR,FR,0 days 00:55:01,5,night,
117,1283570654.0,2023-08-10 00:40:11,2023-08-10 00:43:57,101757026568609,desktop,google,windows,,FR,0 days 00:03:46,3,night,
118,1990289185.0,2023-10-12 07:22:36,2023-10-12 08:19:17,101757026568609,desktop,google,windows,,FR,0 days 00:56:41,3,morning,63 days 06:38:39
119,4220838538.0,2023-11-12 02:02:59,2023-11-12 02:50:09,101757026568609,desktop,google,windows,,FR,0 days 00:47:10,6,night,30 days 17:43:42
120,2180547705.0,2023-04-22 10:04:54,2023-04-22 10:09:52,101881604603031,mobile,yahoo,ios,FR,FR,0 days 00:04:58,5,morning,
121,2051151268.0,2023-07-25 21:42:46,2023-07-25 22:22:03,101881604603031,mobile,yahoo,ios,FR,FR,0 days 00:39:17,1,evening,94 days 11:32:54
122,1799864071.0,2023-09-04 05:26:15,2023-09-04 06:03:36,101881604603031,mobile,yahoo,ios,FR,FR,0 days 00:37:21,0,night,40 days 07:04:12
123,2138564422.0,2023-02-07 06:50:15,2023-02-07 07:36:59,101897645420857,desktop,bing,windows,,FR,0 days 00:46:44,1,morning,
124,3942141846.0,2023-04-25 16:38:20,2023-04-25 16:56:36,101897645420857,desktop,bing,windows,,FR,0 days 00:18:16,1,afternoon,77 days 09:01:21
125,2175189651.0,2023-08-09 20:45:34,2023-08-09 21:12:59,101897645420857,desktop,bing,windows,,FR,0 days 00:27:25,2,evening,106 days 03:48:58
126,3800780517.0,2023-11-25 21:23:40,2023-11-25 22:10:29,101897645420857,desktop,bing,windows,,FR,0 days 00:46:49,5,evening,108 days 00:10:41
127,3217282258.0,2023-03-07 16:47:14,2023-03-07 17:25:49,101969166698172,mobile,google,ios,FR,FR,0 days 00:38:35,1,afternoon,
128,444730392.0,2023-04-11 01:01:41,2023-04-11 01:39:03,101983714877038,mobile,google,,EN,,0 days 00:37:22,1,night,
129,,2023-01-31 05:52:29,2023-01-31 05:54:16,102065385929008,mobile,google,ios,EN,FR,0 days 00:01:47,1,night,
130,,2023-08-16 07:57:40,2023-08-16 08:12:34,102065385929008,mobile,google,ios,EN,FR,0 days 00:14:54,2,morning,197 days 02:03:24
131,,2023-08-16 10:14:59,2023-08-16 10:18:47,102065385929008,mobile,google,ios,EN,FR,0 days 00:03:48,2,morning,0 days 02:02:25
132,,2023-10-21 14:15:02,2023-10-21 14:18:59,102065385929008,mobile,google,ios,EN,FR,0 days 00:03:57,5,afternoon,66 days 03:56:15
133,3615700965.0,2023-06-16 21:57:07,2023-06-16 22:18:00,102069513467035,mobile,,android,EN,FR,0 days 00:20:53,4,evening,
134,1147468758.0,2023-09-21 17:55:00,2023-09-21 18:44:59,102069513467035,mobile,,android,EN,FR,0 days 00:49:59,3,afternoon,96 days 19:37:00
135,3698194342.0,2023-06-25 06:32:30,2023-06-25 07:24:33,102073825051328,desktop,,windows,,FR,0 days 00:52:03,6,morning,
136,2911486454.0,2023-11-09 12:21:49,2023-11-09 13:00:18,102073825051328,desktop,,windows,,FR,0 days 00:38:29,3,afternoon,137 days 04:57:16
137,1557777292.0,2023-06-20 18:04:56,2023-06-20 18:40:34,102126042669948,mobile,google,ios,FR,FR,0 days 00:35:38,1,evening,
138,1672925468.0,2023-09-21 05:34:32,2023-09-21 05:48:38,102126042669948,mobile,google,ios,FR,FR,0 days 00:14:06,3,night,92 days 10:53:58
139,3569461892.0,2023-10-19 10:50:23,2023-10-19 11:21:24,102126042669948,mobile,google,ios,FR,FR,0 days 00:31:01,3,morning,28 days 05:01:45
140,830153693.0,2023-01-06 07:13:20,2023-01-06 08:00:12,102217290652423,mobile,yahoo,ios,Other,FR,0 days 00:46:52,4,morning,
141,532274089.0,2023-02-20 18:03:04,2023-02-20 18:49:08,102217290652423,mobile,yahoo,ios,Other,FR,0 days 00:46:04,0,evening,45 days 10:02:52
142,356706364.0,2023-11-06 23:54:17,2023-11-07 00:03:04,102217290652423,mobile,yahoo,ios,Other,FR,0 days 00:08:47,0,evening,259 days 05:05:09
143,1839523326.0,2023-07-06 12:33:05,2023-07-06 13:07:04,102223713735921,mobile,google,ios,FR,FR,0 days 00:33:59,3,afternoon,
144,4138007337.0,2023-07-16 07:37:54,2023-07-16 08:09:09,102223713735921,mobile,google,ios,FR,FR,0 days 00:31:15,6,morning,9 days 18:30:50
145,3471614357.0,2023-10-03 04:18:09,2023-10-03 05:04:22,102223713735921,mobile,google,ios,FR,FR,0 days 00:46:13,1,night,78 days 20:09:00
146,694402266.0,2023-12-04 06:54:39,2023-12-04 07:29:01,102223713735921,mobile,google,ios,FR,FR,0 days 00:34:22,0,morning,62 days 01:50:17
147,3937071613.0,2023-03-07 15:42:28,2023-03-07 16:37:20,102316544102876,mobile,,android,Other,FR,0 days 00:54:52,1,afternoon,
148,1745745318.0,2023-03-16 07:25:16,2023-03-16 08:13:19,102316544102876,mobile,,android,Other,FR,0 days 00:48:03,3,morning,8 days 14:47:56
149,3607633412.0,2023-03-21 08:19:46,2023-03-21 08:46:15,102316544102876,mobile,,android,Other,FR,0 days 00:26:29,1,morning,5 days 00:06:27
150,897567554.0,2023-07-16 07:44:54,2023-07-16 08:44:08,102316544102876,mobile,,android,Other,FR,0 days 00:59:14,6,morning,116 days 22:58:39
151,650384897.0,2023-10-12 10:21:19,2023-10-12 11:15:59,102316544102876,mobile,,android,Other,FR,0 days 00:54:40,3,morning,88 days 01:37:11
152,2744319366.0,2023-12-07 11:47:03,2023-12-07 11:58:57,102316544102876,mobile,,android,Other,FR,0 days 00:11:54,3,morning,56 days 00:31:04
153,3953446143.0,2023-12-22 18:58:20,2023-12-22 19:33:47,102378303005384,mobile,google,ios,EN,FR,0 days 00:35:27,4,evening,
154,4234689027.0,2023-02-06 23:01:15,2023-02-06 23:43:34,102446232319090,,google,,,FR,0 days 00:42:19,0,evening,
155,1021750187.0,2023-06-21 16:23:49,2023-06-21 17:00:33,102446232319090,,google,,,FR,0 days 00:36:44,2,afternoon,134 days 16:40:15
156,876906446.0,2023-08-27 04:31:28,2023-08-27 05:18:59,102446232319090,,google,,,FR,0 days 00:47:31,6,night,66 days 11:30:55
157,3763953624.0,2023-09-15 21:17:34,2023-09-15 22:06:39,102446232319090,,google,,,FR,0 days 00:49:05,4,evening,19 days 15:58:35
158,982362734.0,2023-01-12 10:13:28,2023-01-12 11:10:53,102448890143119,mobile,google,android,EN,FR,0 days 00:57:25,3,morning,
159,1751338329.0,2023-08-20 06:04:26,2023-08-20 06:10:24,102448890143119,mobile,google,android,EN,FR,0 days 00:05:58,6,morning,219 days 18:53:33
160,3585938780.0,2023-04-22 18:31:40,2023-04-22 18:49:20,102482539122384,,bing,,,FR,0 days 00:17:40,5,evening,
161,218729519.0,2023-06-19 05:52:18,2023-06-19 06:24:23,102482539122384,,bing,,,FR,0 days 00:32:05,0,night,57 days 11:02:58
162,3664937102.0,2023-11-12 17:48:28,2023-11-12 18:09:01,102490985604474,mobile,google,ios,EN,FR,0 days 00:20:33,6,afternoon,
163,3934035339.0,2023-12-05 01:33:34,2023-12-05 02:32:59,102490985604474,mobile,google,ios,EN,FR,0 days 00:59:25,1,night,22 days 07:24:33
164,769485145.0,2023-12-12 13:59:02,2023-12-12 14:43:23,102490985604474,mobile,google,ios,EN,FR,0 days 00:44:21,1,afternoon,7 days 11:26:03
165,2891939928.0,2023-01-16 09:38:22,2023-01-16 10:09:36,102580251877353,mobile,,android,FR,FR,0 days 00:31:14,0,morning,
166,2009529205.0,2023-03-22 17:32:48,2023-03-22 18:24:53,102580251877353,mobile,,android,FR,FR,0 days 00:52:05,2,afternoon,65 days 07:23:12
167,1151632335.0,2023-05-21 12:12:21,2023-05-21 13:10:13,102580251877353,mobile,,android,FR,FR,0 days 00:57:52,6,afternoon,59 days 17:47:28
168,1175944785.0,2023-12-06 05:41:16,2023-12-06 06:40:31,102580251877353,mobile,,android,FR,FR,0 days 00:59:15,2,night,198 days 16:31:03
169,1209800746.0,2023-12-18 07:26:53,2023-12-18 07:28:38,102580251877353,mobile,,android,FR,FR,0 days 00:01:45,0,morning,12 days 00:46:22
170,257327226.0,2023-02-14 06:18:28,2023-02-14 06:52:35,102621982475581,desktop,google,windows,,FR,0 days 00:34:07,1,morning,
171,3828604706.0,2023-03-09 15:21:11,2023-03-09 16:17:26,102621982475581,desktop,google,windows,,FR,0 days 00:56:15,3,afternoon,23 days 08:28:36
172,2620077178.0,2023-03-22 07:49:35,2023-03-22 08:26:25,102621982475581,desktop,google,windows,,FR,0 days 00:36:50,2,morning,12 days 15:32:09
173,2685157598.0,2023-10-07 15:55:13,2023-10-07 16:05:10,102621982475581,desktop,google,windows,,FR,0 days 00:09:57,5,afternoon,199 days 07:28:48
174,3696802442.0,2023-12-05 06:27:52,2023-12-05 07:09:23,102621982475581,desktop,google,windows,,FR,0 days 00:41:31,1,morning,58 days 14:22:42
175,1699639460.0,2023-06-23 10:55:42,2023-06-23 11:38:04,102641689820366,mobile,google,,FR,FR,0 days 00:42:22,4,morning,
176,4271251738.0,2023-11-09 13:28:53,2023-11-09 14:13:13,102641689820366,mobile,google,,FR,FR,0 days 00:44:20,3,afternoon,139 days 01:50:49
177,133872644.0,2023-11-29 15:18:07,2023-11-29 15:35:42,102641689820366,mobile,google,,FR,FR,0 days 00:17:35,2,afternoon,20 days 01:04:54
178,1208234745.0,2023-12-07 03:03:28,2023-12-07 03:56:13,102641689820366,mobile,google,,FR,FR,0 days 00:52:45,3,night,7 days 11:27:46
179,1299006251.0,2023-01-06 10:24:31,2023-01-06 10:58:07,102660027027405,desktop,,windows,,FR,0 days 00:33:36,4,morning,
180,1955213200.0,2023-06-21 07:12:54,2023-06-21 07:51:26,102660027027405,desktop,,windows,,FR,0 days 00:38:32,2,morning,165 days 20:14:47
181,3312537484.0,2023-02-10 16:39:30,2023-02-10 17:04:39,102698007271994,mobile,,ios,FR,FR,0 days 00:25:09,4,afternoon,
